Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A100FA25 November 14 2014 01_56.obj	79.64	102.96	19.01	32.61	28.78	21.93	22.23	37.43	36.58	45.52	44.82	22.02	22.23	40.99	41.72	55.53	53.73	45.22	44.61	82.20	25.35	19.85	41.70	28.45	26.06	25.08	79.72	12.33	35.59	36.03	144.25	81.34	155.99	33.55	83.96	71.84	23.30	22.72	118.01	117.66	65.41	22.95	22.58	28.45	44.02	85.60	13.97	82.78	97.01	92.36	94.62	85.38	84.98	37.87	37.82	97.02	28.00	46.21	45.63	22.22	22.44	11.94	11.94	38.15	65.99	112.41	37.52	38.63	113.13	113.82	104.46	93.03	84.11	97.09	142.74	12.63	12.64	25.43	23.55	73.07	72.42	75.07	179.19	52.63	52.60	78.88	78.88	69.45	33.68	33.05	42.24	42.69	38.10	77.61	112.41	17.63	15.58	27.72	25.15	34.89	36.96	81.34	65.99	97.01	44.02	38.15	19.67	23.55	41.91	32.61	28.78	12.64	19.10	80.73	62.27	27.95	69.07	52.60	37.82	22.23	28.45	100.46	72.01	53.73	25.08	31.73	36.93	40.61	40.02	39.54	48.24	45.03	51.93	9.44	21.10	17.47	11.19	1.41	
A101FA23 November 14 2014 02_00.obj	93.03	98.09	14.83	27.54	30.19	24.34	26.51	37.94	37.49	44.43	44.76	24.34	24.73	40.80	44.13	59.93	58.63	46.58	47.53	92.14	21.41	18.42	40.03	29.50	26.83	26.17	85.94	13.85	35.49	35.61	146.41	89.52	155.24	36.29	83.26	72.15	23.16	22.36	116.81	114.01	65.37	21.96	21.87	29.50	40.10	93.42	14.50	88.06	101.72	98.10	100.50	84.59	83.93	37.61	37.03	101.76	29.50	44.30	44.38	22.99	23.84	13.03	12.72	40.68	66.83	112.76	38.67	41.55	113.86	113.94	109.10	98.48	83.41	99.96	142.98	12.21	12.06	26.38	26.55	77.35	76.19	81.52	181.42	55.28	55.89	78.18	78.18	72.45	34.90	34.56	42.84	43.00	39.27	84.99	112.76	16.30	16.44	28.07	28.73	35.67	36.48	89.52	66.83	101.72	40.10	40.68	16.11	26.55	45.83	27.54	30.19	12.06	19.60	87.11	63.99	29.00	70.79	55.89	37.03	24.73	29.50	102.68	73.18	58.63	26.17	36.17	43.04	41.88	43.39	49.49	50.78	47.48	54.17	14.67	20.89	17.64	12.18	1.18	
A103FS24 November 14 2014 02_10-BkNk-RShldr.obj	86.02	96.19	19.96	25.93	31.40	24.37	26.48	41.11	41.02	47.83	48.83	24.37	24.85	39.30	39.33	55.86	56.72	43.33	44.04	90.19	23.20	18.65	36.22	30.89	25.89	25.89	84.99	11.64	38.50	38.07	146.57	88.60	149.20	32.64	76.23	78.23	23.09	23.51	112.27	109.88	70.47	22.98	22.59	30.89	39.50	89.76	13.99	87.48	103.02	97.61	102.38	77.49	76.81	38.96	38.79	103.02	28.00	46.53	47.92	23.11	24.22	12.66	12.50	38.89	71.51	107.12	38.07	39.11	108.41	108.19	107.21	98.72	77.15	96.64	134.75	11.70	10.68	26.19	26.52	71.99	72.49	82.54	175.12	56.70	58.74	71.15	71.15	76.70	37.35	36.56	41.49	40.51	38.61	84.71	107.12	17.04	16.59	27.73	27.05	38.31	39.92	88.60	71.51	103.02	39.50	38.89	18.27	26.52	43.81	25.93	31.40	10.68	16.20	85.91	62.20	27.98	69.00	58.74	38.79	24.85	30.89	97.39	66.50	56.72	25.89	32.41	44.05	40.60	41.94	43.94	52.69	45.71	57.26	10.93	21.26	17.59	12.63	1.07	
A104FL25 November 14 2014 02_18.obj	77.86	87.08	16.56	25.15	28.40	20.96	22.31	34.79	26.89	40.54	35.64	20.96	21.04	36.06	39.59	52.93	51.06	39.79	40.38	78.25	20.43	18.86	31.96	25.54	25.67	23.92	75.76	11.45	33.46	34.59	128.00	79.82	132.87	29.21	70.51	66.55	22.25	21.39	103.18	100.38	63.02	22.01	21.29	25.54	36.46	80.26	11.74	78.33	90.46	89.42	89.50	71.50	71.70	34.75	35.38	90.46	23.50	40.69	41.66	20.75	21.24	12.70	10.48	33.98	65.17	96.06	36.19	37.72	96.89	96.73	99.40	87.99	71.17	90.59	122.56	9.40	9.69	22.39	21.37	63.82	65.73	74.35	157.30	49.71	51.32	65.43	65.43	68.24	32.40	32.53	37.73	35.85	32.36	76.06	96.06	16.27	15.60	27.93	26.73	32.37	34.18	79.82	65.17	90.46	36.46	33.98	16.14	21.37	37.45	25.15	28.40	9.69	15.00	78.60	53.70	23.47	60.50	51.32	35.38	21.04	25.54	85.57	60.03	51.06	23.92	29.33	39.84	36.15	37.77	39.94	47.61	42.18	48.24	8.98	18.12	16.22	11.86	0.67	
A106FG24 November 14 2014 02_35.obj	90.30	93.83	17.83	32.82	31.80	22.13	23.94	39.71	39.12	50.20	50.83	22.13	22.57	59.41	49.43	56.37	56.14	40.43	43.35	101.79	21.36	19.48	42.15	29.59	27.47	26.90	95.68	13.55	38.79	39.35	138.33	101.72	144.18	34.24	76.00	76.76	24.71	24.29	104.70	102.63	76.36	24.52	24.29	29.59	37.14	93.04	13.85	96.43	105.29	98.28	103.67	77.38	77.07	39.14	37.96	105.29	28.00	49.96	50.14	20.82	22.41	13.72	13.53	37.93	76.07	105.60	61.93	45.06	106.82	106.55	113.71	99.88	76.60	100.85	130.72	13.17	12.25	24.27	24.68	73.34	75.03	82.60	164.56	59.34	60.83	70.92	70.92	85.77	36.82	36.24	41.30	41.72	54.05	84.68	105.60	16.75	16.21	30.73	30.34	37.56	39.20	101.72	76.07	105.29	37.14	37.93	21.54	24.68	39.41	32.82	31.80	12.25	21.70	88.59	60.12	27.71	66.92	60.83	37.96	22.57	29.59	94.63	65.04	56.14	26.90	33.45	42.75	41.88	40.36	49.82	55.23	45.69	59.54	11.77	21.47	13.65	13.54	0.95	
A108FA26c November 14 2014 02_50.obj	119.86	87.86	17.80	35.77	36.77	25.17	25.45	47.98	48.77	61.02	62.11	25.20	25.45	49.19	48.30	51.78	50.06	36.72	36.46	107.77	24.43	19.51	41.04	31.17	36.38	33.78	106.23	12.32	46.09	45.30	148.13	108.67	136.26	33.68	70.06	85.25	29.82	28.23	103.96	102.73	95.35	29.02	27.64	31.17	37.41	118.95	12.19	103.37	123.24	122.90	123.15	72.17	71.62	50.53	50.14	123.24	24.50	62.46	62.66	25.06	25.66	11.97	11.76	36.22	99.12	101.23	47.93	47.06	102.55	102.38	124.27	121.89	72.20	110.40	124.80	12.51	13.72	28.06	27.79	68.84	69.07	113.34	159.50	71.45	73.15	64.98	64.98	95.59	45.71	44.25	38.43	38.95	43.54	114.41	101.23	18.42	17.21	37.32	35.72	41.73	43.52	108.67	99.12	123.24	37.41	36.22	21.49	27.79	39.48	35.77	36.77	13.72	22.30	115.77	56.51	24.39	63.31	73.15	50.14	25.45	31.17	92.37	61.20	50.06	33.78	30.14	61.68	52.67	58.95	60.80	62.66	62.88	60.31	13.36	17.52	17.12	14.01	1.15	
A109FR23a November 14 2014 03_08.obj	80.15	80.63	16.36	27.31	31.40	24.46	24.21	39.86	37.92	48.51	47.08	24.48	24.21	36.34	35.96	46.99	46.43	35.71	35.22	89.08	19.44	18.30	36.76	26.86	26.90	25.51	85.20	13.82	37.90	37.84	130.48	88.53	126.80	32.06	64.27	72.30	23.47	22.51	98.69	96.23	74.11	22.34	22.23	26.86	34.76	83.75	13.18	85.19	90.72	87.50	88.33	65.83	65.29	40.05	38.93	90.75	26.50	48.70	47.46	23.33	23.87	8.88	8.95	36.77	68.69	91.13	35.88	36.23	92.15	91.70	108.80	87.46	64.42	97.39	115.41	12.10	9.19	24.45	23.65	61.50	63.70	72.90	152.47	54.10	54.19	59.19	59.19	76.73	36.10	35.53	31.77	32.28	39.49	75.02	91.13	15.87	15.48	28.03	28.22	35.39	36.92	88.53	68.69	90.72	34.76	36.77	16.75	23.65	38.55	27.31	31.40	9.19	17.00	79.66	54.03	26.36	60.83	54.19	38.93	24.21	26.86	84.35	57.49	46.43	25.51	25.53	39.43	35.53	37.88	42.16	46.97	41.72	48.95	10.50	20.27	13.97	11.14	0.57	
A110FR23 November 14 2014 03_15.obj	85.77	89.45	21.92	32.08	32.48	22.39	24.41	40.72	40.49	47.35	47.03	22.39	23.47	42.78	43.04	52.00	50.49	39.50	39.81	95.24	24.26	18.45	41.36	32.68	29.59	27.29	89.71	12.51	40.25	40.18	151.31	92.43	137.90	33.83	67.52	80.36	25.97	25.24	104.25	101.89	75.88	25.35	24.80	32.68	38.78	89.93	14.56	91.47	100.12	94.35	99.97	69.00	68.42	39.96	39.93	100.13	29.00	46.82	46.69	22.73	23.65	10.78	10.78	37.39	75.03	100.20	40.84	41.10	101.04	101.01	114.55	97.00	68.65	104.11	125.30	12.51	12.66	25.43	26.42	69.16	71.19	82.89	161.67	56.51	56.41	62.44	62.44	77.17	38.26	38.56	37.47	37.15	41.54	83.44	100.20	18.41	18.16	32.03	29.89	39.59	40.77	92.43	75.03	100.12	38.78	37.39	20.94	26.42	40.15	32.08	32.48	12.66	17.50	85.34	59.24	29.12	66.04	56.41	39.93	23.47	32.68	89.42	56.75	50.49	27.29	30.32	42.15	41.25	39.58	46.05	52.05	45.65	54.43	10.75	22.85	15.94	12.60	0.82	
A112FR22a November 14 2014 03_30.obj	91.45	83.53	19.65	36.25	33.08	27.66	29.76	46.33	44.32	54.78	55.38	27.66	27.98	44.78	46.81	51.24	50.19	37.89	37.92	100.07	23.09	18.16	42.35	30.34	30.03	28.70	98.92	14.97	42.28	43.66	145.32	100.97	129.51	34.54	63.88	80.36	26.16	25.24	96.03	92.97	81.39	25.44	24.70	30.34	35.74	94.75	13.26	96.56	101.92	100.97	101.87	65.44	64.92	43.75	43.48	101.92	26.50	53.88	55.13	26.97	27.42	10.76	10.80	38.81	81.26	94.21	43.93	44.36	94.62	94.82	116.04	100.37	65.08	106.06	117.34	11.12	10.61	27.13	26.12	67.47	69.58	85.22	153.74	59.80	61.65	58.80	58.80	87.99	39.27	39.02	35.92	36.30	37.99	87.70	94.21	17.13	17.01	33.48	32.35	39.62	40.74	100.97	81.26	101.92	35.74	38.81	19.86	26.12	38.54	36.25	33.08	10.61	18.30	90.81	53.19	26.52	59.99	61.65	43.48	27.98	30.34	85.67	55.34	50.19	28.70	31.30	43.85	43.79	42.05	49.30	54.73	47.29	54.59	10.68	19.08	16.15	12.83	0.61	
A115FA25 November 28 2014 12_36.obj	121.63	85.25	12.23	36.74	37.38	25.30	25.61	49.62	49.22	61.61	62.95	25.39	25.61	52.37	52.92	52.76	53.09	36.46	38.08	120.11	24.52	20.26	44.64	29.13	39.41	37.73	112.46	18.62	45.31	44.35	144.89	118.66	138.29	37.10	73.02	85.47	29.96	30.48	102.92	101.86	100.88	29.36	30.00	29.13	37.93	115.10	9.82	114.23	122.78	122.66	122.55	74.14	74.19	46.16	46.58	122.77	19.50	60.52	62.30	24.68	25.78	11.90	11.71	39.94	101.16	102.15	51.57	52.92	103.47	103.83	133.53	122.42	76.02	117.63	125.37	13.74	12.44	28.74	29.85	70.28	73.02	111.38	159.93	72.13	74.50	67.94	67.94	99.12	45.09	43.67	39.06	38.45	49.97	110.56	102.15	18.47	17.87	40.52	40.95	41.75	43.71	118.66	101.16	122.78	37.93	39.94	23.14	29.85	43.81	36.74	37.38	12.44	25.60	115.36	59.35	19.63	66.15	74.50	46.58	25.61	29.13	93.27	64.13	53.09	37.73	32.24	58.47	52.03	61.71	59.81	61.58	61.79	60.94	16.90	21.06	17.35	15.39	1.68	
