Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead	
A400FA24 6 December 2015 04_42.obj	121.39	85.80	14.76	38.04	37.70	26.45	25.81	46.11	47.31	55.75	59.29	26.45	25.92	52.84	56.00	51.70	50.85	35.23	35.48	121.87	25.70	19.10	42.53	29.08	36.56	36.60	118.22	17.13	45.90	46.62	153.42	122.51	137.10	40.70	71.04	89.19	31.24	31.65	103.89	101.08	104.10	30.16	30.42	29.08	40.65	117.47	6.83	115.48	121.92	120.85	117.87	73.85	73.64	47.55	47.76	121.92	13.50	56.16	59.91	27.06	26.29	10.86	10.86	42.68	105.86	100.12	52.84	54.74	100.80	100.57	134.64	120.89	75.91	119.67	125.52	13.30	11.26	33.33	31.62	69.39	71.67	116.37	162.96	70.59	73.20	65.96	65.96	100.22	44.97	45.31	39.25	37.60	46.74	117.73	100.12	19.27	18.89	39.85	39.47	43.80	45.39	122.51	105.86	121.92	40.65	42.68	23.84	31.62	47.06	38.04	37.70	11.26	24.70	120.74	57.29	13.66	64.09	73.20	47.76	25.92	29.08	89.26	60.18	50.85	36.60	32.65	62.46	55.22	62.93	58.37	59.86	64.74	57.13	14.32	19.93	17.53	
A402FA41 December 2015 11_42.obj	88.49	95.59	20.12	35.18	33.75	22.25	22.31	35.66	36.48	45.79	46.19	22.44	22.31	44.06	45.51	52.71	52.29	40.74	39.89	101.87	19.45	18.20	43.25	30.26	26.48	26.29	96.95	15.09	34.50	35.56	148.47	100.61	147.35	33.32	75.47	76.64	24.76	24.39	109.29	107.95	74.96	24.24	23.83	30.26	39.35	90.96	13.47	99.54	102.39	97.64	101.93	75.82	75.69	34.71	35.36	102.39	27.00	45.15	45.80	21.40	22.03	11.97	11.89	39.02	75.00	105.73	40.89	42.69	106.75	106.33	113.31	101.50	76.52	103.11	134.02	12.14	12.79	24.59	24.94	71.60	72.23	84.04	172.60	56.95	58.78	70.39	70.39	81.94	32.61	32.85	39.53	38.97	45.29	86.05	105.73	15.26	15.06	30.66	29.45	37.83	38.81	100.61	75.00	102.39	39.35	39.02	19.51	24.94	43.22	35.18	33.75	12.79	21.60	88.75	61.28	26.93	68.08	58.78	35.36	22.31	30.26	96.14	65.88	52.29	26.29	31.06	46.01	39.97	41.97	46.42	53.95	48.37	53.96	10.14	24.29	12.56	
A403FR29 17 December 2015 12_32.obj	87.45	85.52	16.75	30.70	30.60	27.49	25.89	38.37	37.94	45.79	46.01	25.94	25.89	38.90	40.92	53.25	51.62	40.65	39.85	83.79	24.46	19.55	37.14	26.41	27.86	26.17	82.94	11.83	37.42	38.15	135.12	84.20	135.65	34.00	68.78	70.78	22.86	23.70	102.65	99.75	70.53	23.10	24.42	26.41	41.84	89.57	11.32	84.93	97.71	97.16	97.49	68.90	68.91	37.31	36.39	97.71	22.50	45.47	45.44	24.82	25.19	11.11	10.93	37.94	72.58	95.18	39.42	39.73	95.81	96.02	106.17	97.09	69.96	98.09	123.15	11.53	11.55	22.00	22.82	67.73	68.44	81.68	158.98	53.65	55.42	63.70	63.70	73.59	34.39	34.38	36.66	37.15	35.56	83.85	95.18	15.82	16.39	30.01	29.26	33.88	36.90	84.20	72.58	97.71	41.84	37.94	20.48	22.82	39.86	30.70	30.60	11.55	16.70	88.26	54.62	22.64	61.42	55.42	36.39	25.89	26.41	86.35	59.94	51.62	26.17	30.44	45.08	38.71	42.94	44.40	50.15	44.37	53.30	9.66	20.18	16.39	
A408FA29 12 January 2016 11_24.obj	87.86	99.26	19.42	26.69	32.00	24.74	23.03	57.15	36.49	57.82	46.92	23.19	23.03	43.04	45.51	54.61	55.94	42.31	43.23	84.38	21.21	19.51	36.84	29.10	25.42	27.01	82.23	11.87	36.41	36.27	148.30	84.52	153.55	31.22	79.85	73.82	22.84	24.65	116.86	114.32	69.44	22.87	23.31	29.10	40.78	92.10	13.16	83.27	105.23	100.40	104.49	80.44	80.39	35.59	35.55	105.23	26.50	46.43	46.49	22.83	22.84	14.23	14.10	36.77	70.16	108.95	41.26	41.53	110.34	110.04	105.69	102.64	80.73	95.77	139.49	11.45	11.29	23.70	24.29	68.59	72.52	82.86	178.24	58.66	57.71	74.77	74.77	76.28	33.47	32.48	43.99	43.37	42.23	85.44	108.95	14.70	8.48	28.54	28.94	35.55	38.27	84.52	70.16	105.23	40.78	36.77	17.69	24.29	44.47	26.69	32.00	11.29	19.70	88.75	60.98	26.32	67.78	57.71	35.55	23.03	29.10	97.07	67.97	55.94	27.01	31.87	42.85	42.52	43.92	43.78	52.69	50.13	55.06	9.69	21.95	16.49	
A409FL23 12 January 2016 11_34.obj	83.08	95.67	17.84	24.79	30.50	22.37	23.27	36.44	36.24	42.33	41.81	22.37	23.27	37.82	38.20	56.68	56.41	45.09	44.96	84.00	23.66	18.84	38.94	27.40	25.51	23.47	81.67	12.27	34.12	34.69	144.25	83.98	146.53	31.68	77.83	70.68	22.87	22.07	111.84	108.55	68.27	22.68	22.15	27.40	40.35	86.44	12.82	82.67	92.77	90.59	91.87	78.17	78.27	36.02	35.66	92.77	25.00	42.08	41.59	21.68	22.39	15.21	12.33	37.44	68.05	105.23	36.50	37.29	106.49	106.16	104.38	90.67	78.39	96.79	134.18	11.99	9.59	26.48	25.33	72.34	74.18	78.16	173.06	50.80	50.02	72.75	72.75	75.67	33.52	32.89	40.79	40.46	37.07	80.24	105.23	15.51	14.83	28.15	27.34	33.90	36.78	83.98	68.05	92.77	40.35	37.44	17.36	25.33	43.12	24.79	30.50	9.59	16.50	83.85	59.54	25.63	66.34	50.02	35.66	23.27	27.40	95.62	68.22	56.41	23.47	32.68	40.20	39.98	40.15	42.77	48.35	43.85	48.87	9.56	20.46	18.08	
A411FA36 12 January 2016 01_42.obj	104.50	89.78	13.27	32.67	32.88	25.08	25.11	56.65	46.27	56.47	51.49	25.14	25.11	44.14	46.10	51.48	50.69	38.51	39.69	102.38	24.49	19.50	38.25	27.36	29.27	28.65	101.60	14.67	38.15	38.89	138.85	103.93	142.58	36.05	76.50	76.99	25.01	25.31	106.88	104.63	90.99	24.15	25.30	27.36	38.54	103.04	8.18	95.57	105.10	103.72	101.59	76.92	76.89	36.08	35.75	105.10	16.00	44.85	45.60	23.90	23.68	11.83	11.83	38.53	93.39	103.86	42.13	43.95	104.62	104.44	113.62	105.07	79.98	100.61	128.05	12.34	11.12	26.18	26.86	67.23	70.13	102.28	162.57	56.35	56.20	71.42	71.42	89.40	35.00	34.86	41.50	41.71	41.55	101.25	103.86	16.36	17.45	31.79	31.02	36.91	40.08	103.93	93.39	105.10	38.54	38.53	21.81	26.86	39.43	32.67	32.88	11.12	21.10	103.09	59.18	16.35	65.98	56.20	35.75	25.11	27.36	94.83	67.47	50.69	28.65	30.67	50.42	50.77	51.20	53.22	52.69	52.38	52.69	14.09	16.93	16.27	
A412FR30 12 January 2016 12_23.obj	90.13	88.54	17.39	30.84	32.28	25.07	25.68	40.30	41.58	48.92	49.59	24.92	25.68	44.11	40.77	51.22	51.27	39.42	40.17	97.07	23.93	18.77	43.84	28.68	25.69	25.17	93.35	14.09	38.32	39.66	144.61	97.17	139.47	33.08	71.15	73.67	23.04	22.75	105.00	104.07	79.29	23.50	24.21	28.68	40.24	91.33	12.52	91.93	96.28	94.17	95.97	71.45	71.55	37.08	36.64	96.28	25.00	45.83	46.41	24.41	24.79	11.34	11.37	37.03	77.42	99.83	41.25	39.28	100.37	100.55	111.28	93.95	72.30	102.16	126.45	13.39	11.19	26.78	25.16	69.51	70.04	84.73	162.30	55.40	56.48	66.07	66.07	80.67	35.67	35.54	38.47	39.28	39.08	86.37	99.83	15.51	15.86	28.94	30.10	36.79	36.88	97.17	77.42	96.28	40.24	37.03	20.07	25.16	41.67	30.84	32.28	11.19	19.60	89.12	57.94	25.04	64.74	56.48	36.64	25.68	28.68	90.81	62.13	51.27	25.17	29.17	43.80	42.51	43.80	46.20	49.52	42.42	53.81	11.29	19.98	15.99	
A415FA22 27 January 2016 04_24.obj	87.18	106.44	19.90	31.94	29.19	26.65	26.94	41.38	27.72	47.75	38.30	26.76	26.94	46.37	45.26	59.08	60.67	48.61	49.83	87.54	23.65	20.12	44.85	29.81	28.75	25.90	85.15	11.66	38.17	36.81	143.56	88.50	159.43	33.00	86.54	75.96	25.78	24.69	118.20	114.20	70.57	25.59	24.39	29.81	41.80	92.65	14.65	84.17	104.38	98.43	102.59	87.64	87.13	39.32	37.96	104.37	29.50	46.33	44.67	25.22	25.13	13.28	13.09	39.30	70.49	116.34	44.86	43.48	117.71	117.36	108.60	103.91	86.69	98.40	145.66	14.01	12.39	23.80	24.19	78.72	79.92	82.05	180.99	58.67	55.07	81.46	81.46	71.56	37.59	35.55	45.11	43.80	43.87	84.97	116.34	17.48	16.93	31.36	29.68	36.25	39.70	88.50	70.49	104.38	41.80	39.30	20.21	24.19	42.19	31.94	29.19	12.39	18.20	87.76	65.88	29.31	72.68	55.07	37.96	26.94	29.81	106.29	76.48	60.67	25.90	37.29	39.85	45.06	44.51	42.50	52.69	49.45	54.88	9.90	26.54	16.10	
A416FA57 12 January 2016 12_45.obj	98.27	90.26	16.49	37.30	29.63	26.67	27.09	30.68	41.47	41.27	49.44	26.65	27.09	53.20	47.57	50.72	54.89	38.30	41.28	95.56	28.35	20.88	41.49	27.30	32.87	33.64	96.82	14.69	41.63	42.21	139.57	97.52	137.40	39.64	73.77	76.99	25.97	27.41	105.78	101.80	86.89	26.32	27.60	27.30	41.55	98.61	10.67	93.30	100.53	100.31	100.44	74.25	74.12	43.28	42.48	100.52	21.50	50.67	50.63	26.32	27.11	11.62	11.62	42.16	90.17	101.07	44.24	47.57	101.67	101.71	116.53	100.30	75.65	105.46	126.29	12.80	11.03	25.44	27.36	68.05	73.81	95.24	162.52	58.66	59.97	68.69	68.69	88.80	38.71	38.79	40.38	39.78	36.43	96.08	101.07	18.34	18.89	33.39	34.84	38.31	38.67	97.52	90.17	100.53	41.55	42.16	24.28	27.36	39.90	37.30	29.63	11.03	20.60	97.81	54.15	21.34	60.95	59.97	42.48	27.09	27.30	92.04	64.74	54.89	33.64	32.76	47.78	48.23	45.71	52.42	57.76	42.69	57.77	10.81	22.97	19.27	
A417FA64 12 January 2016 12_48-L-RShldr.obj	101.85	84.57	14.55	24.62	30.26	26.71	26.51	42.29	40.70	49.68	47.53	26.65	26.51	42.36	43.63	51.30	52.65	35.50	38.95	84.49	27.41	20.16	33.78	27.70	30.04	28.03	88.89	13.87	38.90	38.99	132.86	91.85	135.69	33.22	70.02	77.02	24.36	23.18	99.35	96.49	76.81	22.79	23.25	27.70	37.24	90.68	6.84	82.37	102.29	99.61	100.26	70.39	70.74	39.18	40.38	102.28	13.50	47.42	47.58	26.60	25.77	11.31	11.11	37.68	77.14	97.72	44.66	42.99	99.08	99.31	106.64	100.74	74.45	94.05	119.92	9.92	10.33	29.21	26.72	63.55	67.88	95.11	157.24	56.24	58.26	64.94	64.94	79.00	36.98	36.72	37.89	38.39	38.84	98.92	97.72	16.17	17.20	31.39	31.24	36.89	40.13	91.85	77.14	102.29	37.24	37.68	21.53	26.72	36.43	24.62	30.26	10.33	21.40	98.51	53.09	13.67	59.89	58.26	40.38	26.51	27.70	88.99	61.29	52.65	28.03	31.89	50.63	48.23	50.35	51.39	49.51	50.16	52.08	13.15	16.95	19.73	
